,code,dept,title,min_units,description,prereqs
133,SOCG 203,SOCG,Field Methods (4),4.0,Research will be conducted in field settings. The primary focus will be on mastering the problems and technical skills associated with the conduct of ethnographic and participant observational studies. Prerequisites: graduate standing in sociology.,graduate standing in sociology
134,SOCG 204,SOCG,Text and Discourse Analysis (4),4.0,"Techniques of gathering and analyzing transcripts of naturally occurring conversations, interviews, discourse in institutional settings, public political discourse, and text of historical materials. Prerequisites: graduate standing in sociology.",graduate standing in sociology
135,SOCG 205,SOCG,Quantitative Methods I (4),4.0,"This course covers some of the elementary techniques used 1) to select random samples, 2) to detect statistical patterns in the sample data, and 3) to determine whether any patterns found in sample data are statistically significant. The course also stresses the benefits and drawbacks of survey and aggregate data and some common ways in which these data are used incorrectly. Prerequisites: graduate standing in sociology.",graduate standing in sociology
136,SOCG 206,SOCG,Quantitative Methods II (4),4.0,"The course covers some of the more advanced techniques used 1) to select random samples, 2) to detect statistical patterns in the sample data, and 3) to determine whether any patterns found in sample data are statistically significant. The course also stresses the benefits and drawbacks of survey and aggregate data and some common ways in which these data are used incorrectly. Prerequisites: graduate standing in sociology.",graduate standing in sociology
137,SOCG 207,SOCG,Comparative-Historical Methods (4),4.0,"A broad-based consideration of the use of historical materials in sociological analysis, especially as this facilitates empirically oriented studies across different societies and through time. Prerequisites: graduate standing in sociology.",graduate standing in sociology
138,SOCG 208A,SOCG,Graduate Student Seminar (1),1.0,"Introduction to the sociology graduate program and faculty. Course includes themes to connect student with the sociological community, a variety of departmental scholarly research, and focus on practical tools for student success. Students may not receive credit for SOCG 208A and SOCG 208. Prerequisites: graduate standing in sociology.",graduate standing in sociology
139,SOCG 208B,SOCG,Graduate Student Seminar (1),1.0,"Second part of the introduction to the sociology graduate program and faculty. Course includes themes to connect student with the sociological community, a variety of departmental scholarly research, and focus on practical tools for student success. Students may not receive credit for SOCG 208B and SOCG 208. Prerequisites: SOCG 208A; graduate standing in sociology.",SOCG 208A; graduate standing in sociology
140,SOCG 209,SOCG,Social Networks (4),4.0,"This course provides an accessible, graduate level introduction to social network analysis as a theoretical and methodological approach—one takes relationships rather than individuals as the fundamental unit of analysis. While the course will focus on concepts and applications rather than statistical models, students will also become acquainted with basic analytic techniques as well as learn how to collect, store, inspect, and visualize original network data. Prerequisites: graduate standing in sociology.",graduate standing in sociology
141,SOCG 211,SOCG,Introduction to Computational Social Science (4),4.0,"This course provides an overview and practical, hands-on introduction to some of the common tools employed in computational approaches to social science research. Students will acquire sufficient skills to use existing tools to conduct computational social science research, such as basic Python language. Recommended preparation: knowledge of or background in statistics. Prerequisites: graduate standing in sociology.",graduate standing in sociology
142,SOCG 212,SOCG,Social Stratification (4),4.0,"The causes and effects of social ranking in various societies. Theories of stratification; the dynamics of informal social grouping; determinants of institutional power, and the nature of struggles for power; the distribution of wealth and its causes; the dynamics of social mobility; the effects of stratification on life-styles, culture, and deviance. Prerequisites: graduate standing in sociology.",graduate standing in sociology
143,SOCG 214,SOCG,Urban Sociology (4),4.0,"A survey of topics in urban sociology, including the city and suburb as social forms, civility among strangers, urbanism and culture, the political economy of metropolitan development, urban poverty, and racial residential segregation. Classical and contemporary approaches will be considered. Prerequisites: graduate standing in sociology.",graduate standing in sociology
144,SOCG 216,SOCG,Sociology of Culture (4),4.0,The history of the concept of culture; cultural pluralism in advanced industrialized societies; the differentiation of cultural institutions; cultural policy and social structure; culture as a property of social groups; conflict and accommodation over efforts to change and sustain traditional culture.,
145,SOCG 222,SOCG,Social Movements (4),4.0,"An examination of theories accounting for the causes and consequences of social movements, including a discussion of the strengths and weaknesses of such theories for understanding historically specific revolutions, rebellions, and violent and nonviolent forms of protest in various parts of the world. Prerequisites: graduate standing in sociology.",graduate standing in sociology
146,SOCG 225,SOCG,Comparative Political Economy (4),4.0,"An examination of the history and performance of key economic, political, and social institutions and policies in the United States and other nations. Special attention to similarities and differences across countries, and to strategies of comparative analysis. Prerequisites: graduate standing in sociology.",graduate standing in sociology
147,SOCG 226,SOCG,Political Sociology (4),4.0,"This course discusses the relationship between state and society in a comparative perspective. The focus is on the interaction among states, domestic economic elites, and external economic and political processes in the determination of different developmental paths. Analytically, it includes topics such as characteristics and functions of the state in different types of society throughout history (with an emphasis on the varieties of capitalist and socialist state), the autonomy of the state and its causes in different settings, and developmental and predatory consequences of state activity. Readings will include both theoretical and empirical materials, the latter dealing mostly with nineteenth- and twentieth-century Europe and twentieth-century Latin America. Prerequisites: graduate standing in sociology.",graduate standing in sociology
148,SOCG 227,SOCG,Ethnographic Film: Media Methods (6),6.0,"Ethnographic recording of field data in written and audiovisual formats, including film, video, and CD-ROM applications. Critical assessment of ethnographies and audiovisual data in terms of styles, format, and approaches. Graduate students are required to submit a fifteen-page mid-term paper comparing a written and an audiovisual ethnography and a final video ethnography with a project abstract. Prerequisites: graduate standing; SOCI 1, SOCI 2; or consent of instructor.","graduate standing; SOCI 1, SOCI 2; or consent of instructor"
149,SOCG 230,SOCG,Advanced Approaches to Sociological Theory (4),4.0,"This course is a discussion of recent topics in sociological theory, usually focusing on a single approach, like postcolonialism, feminism, or Western Marxism. May be repeated as the topics change. Prerequisites: graduate standing in sociology.",graduate standing in sociology
150,SOCG 232,SOCG,Advanced Issues in the Sociology of Knowledge (4),4.0,"The social construction of knowledge and the social institutions in which these processes take place are examined. Topics include relationships between knowledge and social institutions, foundations of knowledge in society, knowledge and social interactions, and contrasting folk and specialized theories. Prerequisites: graduate standing in sociology.",graduate standing in sociology
151,SOCG 234,SOCG,"Intellectual Foundation of the Study of Science, Technology, and Medicine (4)",4.0,"This course focuses on some classic methodological and theoretical resources upon which the sociology of science, technology, and medicine all draw. It gives special attention to relationships between knowledge and social order, and between knowledge and practice, that are common to science, technology, and medicine. Prerequisites: graduate standing in sociology.",graduate standing in sociology
152,SOCG 238,SOCG,Survey of the Sociology of Scientific Knowledge (4),4.0,"An introduction to some enduring topics in the sociology of scientific knowledge and to some resources for addressing them. Attention is drawn to problems of accounting for scientific order and change, and to recurrent debates over the proper method for sociological accounts of science. Prerequisites: graduate standing.",graduate standing
153,SOCG 243,SOCG,Sociology of Social Control (4),4.0,"An examination of the sociological literature on social control, looking at theoretical developments over time and examining the contemporary literature dealing with social control in historical and comparative perspective. Prerequisites: graduate standing.",graduate standing
154,SOCG 244,SOCG,Sociology of Race and Ethnicity (4),4.0,"Analysis of enduring topics in the study of race and ethnicity, including stratification, discrimination conflict, immigration, assimilation, and politics. Other topics include racial and ethnic identity and the social construction of race and ethnic categories. A special focus is on the role of “culture” and “structure” for explaining race/ethnic differentiation. Prerequisites: graduate standing in sociology.",graduate standing in sociology
155,SOCG 245,SOCG,"Gender, Work, and the Economy (4)",4.0,"This course studies social constructions of gender within economic opportunities and constraints. We read classical sociological theory on this topic; feminist critiques; and newer research on careers, organizations, and markets. Prerequisites: graduate standing in sociology.",graduate standing in sociology
156,SOCG 246,SOCG,The Welfare State (4),4.0,"Surveys major theories of the development and functioning of the welfare state, addressing the roles of economic development, political institutions, stratification, and culture. The course focuses on the development of the US social provision in comparison with other advanced industrial societies.",
157,SOCG 247,SOCG,Madness and Society (4),4.0,An examination of changing Western responses from the age of Bedlam to the age of Prozac. Topics include the rise and decline of the total institution; the emergence of psychiatry; changing cultural meanings of madness; and the therapeutics of mental disorder. Prerequisites: graduate standing in sociology.,graduate standing in sociology
158,SOCG 252,SOCG,Research Practicum I (4),4.0,"In this seminar students work on a research project, which might have originated in a paper written for another course. The goal is to produce the first draft of a paper that will be submitted to an academic journal. Prerequisites: graduate standing in sociology.",graduate standing in sociology
159,SOCG 253,SOCG,Research Practicum II (4),4.0,"In this seminar students revise an existing research paper (usually the one they wrote for Sociology 252) for submission to an academic journal. Emphasis is placed on conceptual development, writing style and structure, and drawing links to the existing theoretical and empirical literature. Prerequisites: graduate standing in sociology.",graduate standing in sociology
160,SOCG 255A,SOCG,Introduction to Science Studies (4),4.0,"(Same as Phil 209A, HIGR 238, and COGR 225A.) Study and discussion of classic work in history of science, sociology of science, and philosophy of science, and of work that attempts to develop a unified science studies approach. Required for all students in the Science Studies Program. Prerequisites: enrollment in Science Studies Program.",enrollment in Science Studies Program
161,SOCG 255B,SOCG,Seminar in Science Studies (4),4.0,"(Same as Phil 209B, HIGR 239, and COGR 225B.) Study and discussion of selected topics in the science studies field. Required for all students in the Science Studies Program. Prerequisites: enrollment in Science Studies Program.",enrollment in Science Studies Program
162,SOCG 255C,SOCG,Colloquium in Science Studies (4),4.0,"(Same as Phil 209C, HIGR 240, and COGR 225C.) A forum for the presentation and discussion of research in progress in science studies, by graduate students, faculty, and visitors. Required of all students in the Science Studies Program. Prerequisites: enrollment in the Science Studies Program.",enrollment in the Science Studies Program
163,SOCG 255D,SOCG,Advanced Approaches to Science Studies (4),4.0,"(Same as COGR 225D, HIGR 241, Phil 209D.) Focus on recent literature in the history, philosophy, and sociology of science, technology, and medicine. Required of all students in the Science Studies Program. Prerequisites: SOCG 255A is a prerequisite for SOCG 255D; enrollment in Science Studies Program or instructor’s permission.",SOCG 255A is a prerequisite for SOCG 255D; enrollment in Science Studies Program or instructor’s permission
164,SOCG 258,SOCG,Institutional Change in the Contemporary World; Latin American Societies in a Comparative Perspective (4),4.0,"This course explores institutional change in contemporary Latin America and compares this area with other transitional societies. Issues include social consequences of economic liberalization, changing forms of inequality, dynamics of civil society, conceptions of citizenship, quality and future of democracy. Prerequisites: graduate standing.",graduate standing
165,SOCG 263,SOCG,Graduate Seminar in the Sociology of Art (4),4.0,This seminar explores the production and interpretation of art forms in cross-cultural context. Processes of symbolic and economic exchange in art worlds will be examined from sociological and semiotic perspectives. Contemporary and popular art forms will be analyzed as types of cultural reproduction. Graduate students will be required to submit a project abstract and final research paper of twenty-seven pages. Prerequisites: graduate standing in sociology.,graduate standing in sociology
166,SOCG 264,SOCG,Economic Sociology (4),4.0,"This course provides an overview of the classical and current debates in the economic sociology literature. It presents theories of the rise of industrial economics and addresses how economic activities are constituted and influenced by institutions, culture, and social structure. Prerequisites: graduate standing in sociology.",graduate standing in sociology
167,SOCG 267,SOCG,Sociology of Gender (4),4.0,"Course examines social construction of gender focusing on recent contributions to the field, including micro- and macro-level topics, i.e., social psychological issues in the development of gender, gender stratification in the labor force, gender and social protest, feminist methodologies. Prerequisites: graduate standing in sociology.",graduate standing in sociology
168,SOCG 269,SOCG,The Citizenship Debates (4),4.0,"Will examine the controversies surrounding the construction of the modern citizen and the good society of the liberal outlook, and their alternatives in the communitarian, social-democratic, nationalist, feminist, and multiculturalist perspectives. Prerequisites: graduate standing in sociology.",graduate standing in sociology
169,SOCG 270,SOCG,Sociology of Education (4),4.0,"The course will begin by discussing the history and goals of education, as well as how sociologists have sought to understand this institution. We will then examine important topics including educational inequality; the dynamics of race, class, and gender in education; higher education; and social and political forces for change in educational forms. Prerequisites: graduate standing in sociology.",graduate standing in sociology
170,SOCG 278,SOCG,"Immigration, Assimilation, and Identity (4)",4.0,"This course focuses on theoretical and empirical approaches to the study of immigration, assimilation, and identity. The course will focus primarily on the post-1965 immigrants, but consideration will also be given to earlier waves of immigration. Prerequisites: graduate standing in sociology.",graduate standing in sociology
171,SOCG 282,SOCG,Immigration and Citizen (4),4.0,"Alternative theories of the relations of immigrants and host societies, and an examination on the debates on, and dynamic of, immigration expansion and restriction. Comparison of the bearing of liberal, communitarian, and ethnic citizenship discourses on the inclusion and exclusion of immigrants and their descendants. Prerequisites: graduate standing in sociology.",graduate standing in sociology
172,SOCG 284,SOCG,Contemporary Biomedicine (4),4.0,Develops central themes in medical sociology in order to understand twentieth- and twenty-first century medical practice and research. Topics include authority and expertise; health inequalities; managed care; health activism; biomedical knowledge production; and the construction of medical objects and subjects. Prerequisites: graduate standing.,graduate standing
173,SOCG 288,SOCG,Knowledge Capitalism (4),4.0,This seminar examines the place of scientific knowledge and information and communication technology in the transformation of capitalist economy and society. The class explores new interactions between science studies and social theory of advanced capitalism. Prerequisites: graduate standing in sociology.,graduate standing in sociology
174,SOCG 290,SOCG,Graduate Seminar (4),4.0,"A research seminar in special topics of interest to available staff, provides majors and minors in sociology with research experience in close cooperation with faculty. (S/U grades permitted.) Prerequisites: graduate standing in sociology.",graduate standing in sociology
175,SOCG 298,SOCG,Independent Study (1–8),1.0,Tutorial individual guides study and/or independent research in an area not covered by present course offerings. (S/U grades only.) Prerequisites: graduate standing in sociology; department approval.,graduate standing in sociology; department approval
176,SOCG 299,SOCG,Thesis Research (1–12),1.0,Open to graduate students engaged in thesis research. (S/U grades only.) Prerequisites: graduate standing in sociology.,graduate standing in sociology
177,SOCG 500,SOCG,Apprentice Teaching (2–4),2.0,"Supervised teaching in lower-division contact classes, supplemented by seminar on methods in teaching sociology. (S/U grades only.) Prerequisites: graduate standing in sociology. Technology done under the direction of a faculty member. College stamp required. Pass/Not Pass grade only.",graduate standing in sociology Technology done under the direction of a faculty member College stamp required Pass/Not Pass grade only
0,SYN 1,SYN,Perspectives on a Changing Planet (4),4.0,"Synthesis 1 introduces students to the methods, challenges, and rewards of working across disciplines and models of interdisciplinary thinking by using a variety of disciplinary perspectives to enhance students’ understanding of our changing planet. Students are asked to engage in interdisciplinary thinking through the course assignments. Prerequisites: Seventh College students only, completion of UC Entry Level Writing requirement, must be taken for a letter grade to count toward Seventh College general-education requirements.","Seventh College students only, completion of UC Entry Level Writing requirement, must be taken for a letter grade to count toward Seventh College general-education requirements"
1,SYN 2,SYN,Explorations of a Changing Planet (4),4.0,"Synthesis 2 builds upon the skills developed in Synthesis 1 by introducing research methods, culminating in an interdisciplinary research paper that students design around the changing planet topics addressed in the course and each student’s own interests. Prerequisites: Seventh College students only, SYN 1, must be taken for a letter grade to count toward Seventh College general-education requirements.","Seventh College students only, SYN 1, must be taken for a letter grade to count toward Seventh College general-education requirements"
2,SYN 100,SYN,Solutions for a Changing Planet (4),4.0,"Synthesis 100 is a project-based course that builds on skills developed in Synthesis 1 and Synthesis 2 by taking a collaborative, interdisciplinary approach to solving complex problems. SYN 100 is the third course in the Synthesis Program’s three-course sequence. Prerequisites: upper-division standing, completion of SYN 1 and 2, must be taken for a letter grade to count toward Seventh College general-education requirements.","upper-division standing, completion of SYN 1 and 2, must be taken for a letter grade to count toward Seventh College general-education requirements"
3,SYN 500,SYN,Apprentice Teaching in Synthesis Program (2 or 4),2.0,"Consideration and development of key changing planet topics and pedagogical methods appropriate to undergraduate teaching in the interdisciplinary Synthesis Program writing courses, under the supervision of the program director. May be taken for credit up to eighteen times. Prerequisites: department approval required.",department approval required
0,TDAC 1,TDAC,Introduction to Acting (4),4.0,"A beginning course in the fundamentals of acting: establishing a working vocabulary and acquiring the basic skills of the acting process. Through exercises, compositions, and improvisations, the student actor explores the imagination as the actor’s primary resource, and the basic approach to text through action. Prerequisites: none.",none
1,TDAC 101,TDAC,Acting I (4),4.0,This course focuses on beginning scene study with an emphasis on exploring action/objective and the given circumstances of a selected text. Prerequisites: THAC or TDAC 1 or consent of instructor.,THAC or TDAC 1 or consent of instructor
2,TDAC 102,TDAC,Acting II (4),4.0,Further study in the application of the given circumstances to a text and the development of characterization. Prerequisites: TDAC 101.,TDAC 101
3,TDAC 103A,TDAC,Acting Intensive I (4),4.0,"An intensive foundation class for students interested in professional actor training. Using Viewpoints, students will train the physical, vocal, and emotional aspects of their actor instrument toward developing character and relationships by using scenes from contemporary and modern plays. Prerequisites: TDAC 102.",TDAC 102
4,TDAC 103B,TDAC,Acting Intensive II (4),4.0,"A continuation of TDAC 103A. Working from Meisner technique, students will learn to deepen and detail their objectives, spontaneous response, and deep listening skills. Focus on the process that will lead to scene work using this technique. Prerequisites: TDAC 103A, department stamp, and consent of instructor.","TDAC 103A, department stamp, and consent of instructor"
5,TDAC 104,TDAC,Classical Text (4),4.0,"Studies in the heightened realities of poetic drama. Verse analysis, research, methods and how to approach a classical dialogue. Prerequisites: TDAC 102.",TDAC 102
6,TDAC 105,TDAC,Rehearing Shakespeare (4),4.0,Advanced exploration of Shakespeare’s language through examining and performing scenes from the plays. Admission by audition/interview. May be taken for credit two times. Prerequisites: TDAC 102.,TDAC 102
7,TDAC 106,TDAC,Chekhov Acting (4),4.0,"Practical exercises, discussion, text analysis, and scene work on the writings of Anton Chekhov. Admission by audition/interview. Prerequisites: TDAC 102.",TDAC 102
8,TDAC 107,TDAC,Improvisation for the Theatre (4),4.0,Improvisation for the Theatre explores improvisation techniques as an alternative and unique approach to acting. Students should have a performance background. Prerequisites: THAC or TDAC 1.,THAC or TDAC 1
9,TDAC 108,TDAC,Advanced Topics (4),4.0,"Advanced topics in acting, such as avant-garde drama, commedia, or Beckett, for students who possess basic acting techniques. May be taken for credit four times. Prerequisites: TDAC 102.",TDAC 102
10,TDAC 109,TDAC,Singing for Actors (4),4.0,"This course introduces basic skills of breathing, placement, diction, musicianship, harmony, interpretation, and presentation needed by actors for roles requiring singing. Through a combination of group and individual coaching in class, students will prepare a program of short solo and ensemble pieces for a finals-week presentation. Prerequisites: THAC or TDAC 1 and audition; department stamp.",THAC or TDAC 1 and audition; department stamp
11,TDAC 110,TDAC,Acting for the Camera (4),4.0,This course is designed to aid the actor in the transition from stage to film work. Examination of film production and its physical characteristics and the acting style needed for work in film and television. Students will perform in simulated studio setting on camera. Prerequisites: TDAC 102.,TDAC 102
12,TDAC 111,TDAC,Freeing the Voice (4),4.0,"Intensive workshop for actors and directors designed to “free the voice,” with special emphasis on characteristics and vocal flexibility in a wide range of dramatic texts. This proven method combines experimental and didactic learning with selected exercises, texts, tapes, films, and total time commitment. Prerequisites: TDAC 101 and audition/interview required.",TDAC 101 and audition/interview required
13,TDAC 112,TDAC,Senior Seminar in Acting (4),4.0,An in-depth study seminar focused on special issues in acting as they relate to contemporary theatre. Of particular interest to students who plan to pursue a career in this area of theatre. Prerequisites: TDAC 102.,TDAC 102
14,TDAC 115,TDAC,Movement for Actors (4),4.0,"An exploration of the wide array of physical skills necessary for the actor. Using techniques derived from mime, clowning, sports, acrobatics, and improvisation, students will investigate their individual physical potential as well as their sense of creativity and imagination. Prerequisites: THAC or TDAC 101.",THAC or TDAC 101
15,TDAC 120,TDAC,Ensemble (4),4.0,"An intensive theatre practicum designed to generate theatre created by an ensemble with particular emphasis upon the analysis of text. Students will explore and analyze the script and its author. Ensemble segments include black theatre, Chicano theatre, feminist theatre, and commedia dell’arte. Audition may be required. A maximum of four units may be used for major credit. (Cross-listed with ETHN 146A.) Prerequisites: upper-division standing or consent of instructor.",upper-division standing or consent of instructor
16,TDAC 122,TDAC,Ensemble: Undergraduate Production (4),4.0,Participation in a fully staged theatre production directed by an MFA or PhD student for the Department of Theatre and Dance. Admission by audition only. A maximum of four units may be used for major credit. Prerequisites: consent of the instructor; department stamp.,consent of the instructor; department stamp
17,TDAC 123,TDAC,Advanced Studies in Performance (4),4.0,Participation in a fully staged season production that is directed by a faculty member or guest for the Department of Theatre and Dance. Admission by audition only. A maximum of four units may be used for major credit. Prerequisites: consent of the instructor; department stamp.,consent of the instructor; department stamp
18,TDDE 1,TDDE,Introduction to Design for the Theatre (4),4.0,"A survey of contemporary and historical concepts and practices in the visual arts of the theatre; studies in text analysis, studio processes and technical production; elementary work in design criticism, scale model making, and costume design. A course serving as an introduction to theatre design and production.",
19,TDDE 101,TDDE,Theatre Process—Scenery (4),4.0,"A hands-on course develops craft skills and solution-finding process in design including script analysis, concept sketches, research, and scale model making. An exploration of fundamental ways of seeing and understanding visual design. Prerequisites: THDE or TDDE 1 or THPR or TDPR 1.",THDE or TDDE 1 or THPR or TDPR 1
20,TDDE 102,TDDE,Advanced Scenic Design (4),4.0,"An advanced course based on the “practice” of scenic design, dealing with the solution finding process, from text to idea to realized work. Prerequisites: THDE or TDDE 1, THDE or TDDE 101, or consent of instructor.","THDE or TDDE 1, THDE or TDDE 101, or consent of instructor"
21,TDDE 111,TDDE,Theatre Process—Costume Design (4),4.0,"The process of the costume designer from script analysis and research visualization of ideas, through the process of costume design. Lecture and demonstration labs parallel lecture material. This course is intended for those interested in a basic understanding of the costumer’s process. No previous drawing or painting skills required. Prerequisites: THDE or TDDE 1.",THDE or TDDE 1
22,TDDE 112,TDDE,Advanced Costume Design (4),4.0,"An advanced course based on the “practice” of costume design, dealing with the solution finding process, from text to idea to realized work. Prerequisites: THDE or TDDE 1, THDE or TDDE 111, or consent of instructor.","THDE or TDDE 1, THDE or TDDE 111, or consent of instructor"
23,TDDE 121,TDDE,Theatre Process—Lighting Design (4),4.0,"One of three classes in theatre process. The course aims to develop basic skills in lighting design through practical projects, lab work and lecture. These emphasize collaborating, manipulating light and color, and developing craft skills. Prerequisites: THDE or TDDE 1 or THPR or TDPR 3 or consent of instructor.",THDE or TDDE 1 or THPR or TDPR 3 or consent of instructor
24,TDDE 130,TDDE,Assistant Designer (2–6),2.0,"A production-oriented course that continues to introduce students to the fundamentals of design assisting. Laboratory format allows the student to work with faculty, graduate, or advanced undergraduate theatre designers, doing research, developing design concepts, and supporting the designer in a number of professional ways. May be taken for credit two times. Prerequisites: THDE or TDDE 1, any upper-division undergraduate theatre design class, THPR or TDPR 1, 2, 3, or 5; and consent of instructor; department stamp.","THDE or TDDE 1, any upper-division undergraduate theatre design class, THPR or TDPR 1, 2, 3, or 5; and consent of instructor; department stamp"
25,TDDE 131,TDDE,Special Topics in Theatre Design (4),4.0,A course designed to expose the theatre design students to a variety of specialized topics that will vary from quarter to quarter. May be taken for credit three times. Prerequisites: THDE or TDDE 1 or consent of instructor.,THDE or TDDE 1 or consent of instructor
26,TDDE 132,TDDE,Undergraduate Main Stage Production: Design (4),4.0,"A course that will guide a student in a design assignment on the undergraduate main stage production. Specialized topics dependent on the design requirements of the production. May be taken for credit three times. Prerequisites: THDE or TDDE 1 and THDE or TDDE 101 or THDE or TDDE 121, or THDE or TDDE 131, or consent of instructor.","THDE or TDDE 1 and THDE or TDDE 101 or THDE or TDDE 121, or THDE or TDDE 131, or consent of instructor"
27,TDDE 141,TDDE,Theatre Process—Sound Design (4),4.0,A hands-on course on the process of sound design from conception to planning and implementation. The course will concentrate equally on the technical and artistic aspects of the sound design process and will include a survey of modern audio technologies. Prerequisites: TDPR 5 or TDPR 6 or TDDE 1 or MUS 173 or consent of instructor.,TDPR 5 or TDPR 6 or TDDE 1 or MUS 173 or consent of instructor
28,TDDE 142,TDDE,Advanced Sound Design (4),4.0,"This course focuses on advancing students in their artistic and technical skills in sound design. A large-scale project will be identified with special attention given to text analysis and technical specification of the sound design. Prerequisites: TDDE 1 and TDDE 141 or equivalent, or consent of instructor.","TDDE 1 and TDDE 141 or equivalent, or consent of instructor"
29,TDDE 151,TDDE,Digital Video Design (4),4.0,"This course will examine the field of projection design for theatre and dance performance. Students will study and produce original works based on the theoretical and aesthetic approaches of animation, film, performance, and installation art that influence contemporary projection design. Prerequisites: upper-division standing or consent of instructor.",upper-division standing or consent of instructor
30,TDDE 169A,TDDE,Digital Rendering for Theatre and Performance Design I (4),4.0,"Introductory course that explores a variety of digital rendering methods for artistic 2-D, 3-D, and moving graphics visualization in theatre and performance design. Course objective is to synthesize and expand traditional drawing and painting methods with modern digital media-based applications. Prerequisites: none.",none
31,TDDE 169B,TDDE,Digital Rendering for Theatre and Performance Design II (4),4.0,"A continuation of TDDE 169A. Studio course explores advanced digital rendering methods for artistic 2-D, 3-D, and moving graphics for theatre and performance design. Focus will be on advanced techniques in the process of visualization from conception to production. Prerequisites: TDDE 169A.",TDDE 169A
32,TDDE 190,TDDE,Major Project in Design/Theatre Production (4),4.0,"For the advanced design/production student. Concentration on a particularly challenging design or theatre production assignment, including such areas as assistant designer (scenery, lighting, or costumes), technical director, master cutter, or master electrician. May be repeated one time for credit. A maximum of eight units of major project study, regardless of area (design, directing, or stage management) may be used to fulfill major requirements. May be taken for credit two times. Prerequisites: admission by consent of instructor only. See department for application form.",admission by consent of instructor only See department for application form
33,TDDR 101,TDDR,Stage Management (4),4.0,"Discussion and research into the duties, responsibilities, and roles of a stage manager. Work to include studies in script analysis, communication, rehearsal procedures, performance skills, and style and conceptual approach to theatre. THGE or TDGE 1, THAC or TDAC 1, and THDE or TDDE 1 recommended.",
34,TDDR 108,TDDR,Text Analysis for Actors and Directors (4),4.0,"This is an introductory class in the process of understanding the play script. The class will focus on analyzing the story and the underlying dramatic structure in terms of dramatic action. Objectives, actions, choices, given circumstances, and character will be examined. Prerequisites: upper-division standing or consent of instructor.",upper-division standing or consent of instructor
35,TDDR 111,TDDR,Directing-Acting Process (4),4.0,"A studio class that investigates the fundamental skills a director needs to work with actors. Working with actors, students learn how to animate the text onstage through status exercises and scene work as they develop their skill in text work, staging, and dramatic storytelling. Prerequisites: THDR or TDDR 108 or THHS or TDHT 10.",THDR or TDDR 108 or THHS or TDHT 10
36,TDDR 190,TDDR,Major Project in Directing (4),4.0,"For the advanced student in directing. Intensive concentration on the full realization of a dramatic text from research and analysis through rehearsal and into performance. A maximum of eight units of major project study, regardless of area (design, directing, or stage management) may be used to fulfill major requirements. See department for application. May be taken for credit two times. Prerequisites: THDR or TDDR 108, THDR or TDDR 111, consent of instructor, and department stamp.","THDR or TDDR 108, THDR or TDDR 111, consent of instructor, and department stamp"
37,TDDR 191,TDDR,Major Project in Stage Management (4),4.0,"For the advanced student in stage management. Intensive concentration on the full realization of a dramatic text, from research and analysis through rehearsal and final performance. A maximum of eight units of major project study regardless of area (design, directing, stage management, or playwriting) may be used to fulfill major requirements. See department for application. May be taken for credit two times. Prerequisites: THPR or TDPR 4, THPR or TDPR 104, THDR or TDDR 101, consent of instructor, and department stamp.","THPR or TDPR 4, THPR or TDPR 104, THDR or TDDR 101, consent of instructor, and department stamp"
38,TDDM 1,TDDM,Introduction to Dance Making (4),4.0,"Explores the concepts and processes of dance making through creative projects, discussions, and the examination of major dance works. Recommended preparation: No prior dance experience required. Open to all levels. Prerequisites: none.",none
39,TDDM 5,TDDM,Site Specific Dance and Performance (4),4.0,"The study of dance and performance creation in relation to the environment, political activism, happenings, and ritual. Students explore ideas within the unique attributes of architecture, natural landscapes, public spaces, visual art, historic landmarks, and cultural contexts. Recommended preparation: No prior dance experience needed. Open to all levels. Prerequisites: none.",none
40,TDDM 100,TDDM,Dance Making 1 (4),4.0,"Practical and conceptual studies of approaches to dance making. Compositional projects enable students to create short works for solo, duet, and small group situations with options to explore interdisciplinary collaboration, specific sites, text, political and societal issues, and advanced partner work. Prerequisites: TDDM 1 or consent of instructor.",TDDM 1 or consent of instructor
41,TDDM 101,TDDM,Dance Making 2 (4),4.0,"The study of compositional, ensemble, collaborative, and improvisational approaches to dance making. Structures, scores, tasks, imagination, timing, spontaneity, partnering skills, composing in the moment, shared authorship, and experimentation facilitate the development of movement vocabulary. Prerequisites: TDDM 1 or consent of instructor.",TDDM 1 or consent of instructor
42,TDGE 1,TDGE,Introduction to Theatre (4),4.0,An introduction to fundamental concepts in drama and performance. Students will attend performances and learn about how the theatre functions as an art and as an industry in today’s world. Prerequisites: none.,none
43,TDGE 3,TDGE,Cultivating the Creative Mind (4),4.0,"This course will use the theatrical context to integrate scientific research about creativity, group dynamics, and related topics. Through a mix of theoretical and experiential classes and assignments, we will explore the intersection of theatre and neuroscience, investigating and expanding the creative mind. Prerequisites: none",none
44,TDGE 5,TDGE,A Glimpse into Acting (4),4.0,"An introductory course on acting fundamentals for students without an acting background. Through analysis of acting on film, students will explore the actor’s craft and practice these skills in studio exercises to better understand how an actor approaches a text. Prerequisites: none.",none
45,TDGE 10,TDGE,Theatre and Film (4),4.0,"Theatre and Film analyzes the essential differences between theatrical and cinematic approaches to drama. Through selected play/film combinations, the course looks at how the director uses actors and the visual languages of the stage and screen to guide and stimulate the audience’s responses. Prerequisites: none.",none
